Tools,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,446758,1396.118,1,OK,-121.6566118,52.2059458,-164.8789663,-6.397,-65.014,6.511,0.0249530,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,448326,1401.018,1,OK,-125.9124634,50.9245212,-166.6287702,18.340,-77.208,-5.617,0.0191372,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,449926,1406.018,1,OK,-130.9788046,56.4003870,-161.3385928,19.104,-112.271,18.130,0.0608586,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,451534,1411.043,1,OK,-113.7099327,47.0398229,-156.0345652,-47.956,-27.728,-18.478,0.0097480,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,453134,1416.043,1,OK,-120.6211974,41.8203653,-164.9884632,-24.994,15.482,0.322,0.0160166,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,454742,1421.068,1,OK,-131.3416871,35.3596744,-160.4212588,73.978,0.537,11.033,0.0449431,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,456342,1426.068,1,OK,-140.2484791,38.2495810,-164.4188898,75.363,-36.688,18.819,0.0574901,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,457950,1431.093,1,OK,-143.2924454,37.7996408,-164.3906878,57.155,-87.115,21.268,0.0274169,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,459550,1436.093,1,OK,-141.6912013,43.8711692,-159.4019338,35.308,-110.148,37.042,0.0710067,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,461150,1441.093,1,OK,-136.1788703,50.9286078,-167.0366482,1.238,-120.812,-68.616,0.0719623,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,462758,1446.118,1,OK,-133.4522993,55.4416437,-166.4025979,-4.476,-109.480,-21.701,0.0406920,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,464358,1451.118,1,OK,-126.9798320,54.6875101,-163.7563023,-17.911,-71.487,-9.802,0.0157183,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,465958,1456.118,1,OK,-131.8022463,55.0681255,-172.7294887,9.869,-75.200,-11.057,0.0186558,0
